name,acres,lon,lat,reporter,cause
613415,6710.0,-142.4189,63.2497,Alaska Fire Service,Debris and open burning
BELLI,6700.0,-119.98166667,39.48333333,Humboldt-Toiyabe National Forest,Arson/incendiarism
MAYNARD,6607.0,-114.9008,37.1666,Ely District Office,Natural
LANGSTROTH,6500.0,-108.495,33.27333333,Gila National Forest,Natural
CEDAR MT,6218.0,-117.7149,43.3188,Vale District,Natural
TUNNEL,6109.0,-116.0009,40.7333,Elko District Office,Natural
GATTON,6000.0,-98.51666667,38.3,Quivira National Wildlife Refuge,Arson/incendiarism
CORRAL,6000.0,-119.801,41.2832,Northern California District,Natural
CHINA GU,5985.0,-117.6413,42.7518,Vale District,Natural
SAN PEDRO,5975.0,-106.858,33.866,Bosque del Apache National Wildlife Refuge,Missing data/not specified/undetermined
SWINTRCAMP,5834.0,-115.5242,42.5566,Boise District,Natural
WILDCAT,5830.0,-113.0,37.34194,Zion National Park,Natural
ELEPHANT 2,5830.0,-120.3345,46.4999,Spokane District,Equipment and vehicle use
SETHKOKNA,5800.0,-153.5868,63.8208,Alaska Fire Service,Natural
KUNA,5756.0,-116.4443,43.4366,Boise District,Natural
632472,5630.0,-148.9328,65.8451,Alaska Fire Service,Natural
TRIMMER 2,5607.0,-119.31333333,36.87,Sierra National Forest,Arson/incendiarism
MULEBUTTE2,5600.0,-113.2933,43.0574,Idaho Falls District,Natural
KEYSTONE,5600.0,-120.501,37.8499,Central California District,Natural
HATCHET,5580.0,-108.6673,39.4,"Northwest District, Grand Junction",Natural
ROCK HILL,5571.0,-117.9757,40.6621,Winnemucca District Office,Natural
YOTE BUTTE,5552.0,-116.3426,43.3366,Boise District,Missing data/not specified/undetermined
CAMP FLOYD,5542.0,-112.2508,40.2166,Salt Lake Field Office,Natural
TABBY MTN,5500.0,-112.5008,40.7999,Salt Lake Field Office,Natural
COYOTE,5409.0,-118.1852,41.6055,Winnemucca District Office,Natural
MCFWEST3,5388.0,-94.1833,29.633,McFaddin National Wildlife Refuge,Arson/incendiarism
SKULL CR,5326.6,-118.8294,42.3999,Burns District,Natural
BOYD,5275.0,-114.5675,37.4,Ely District Office,Railroad operations and maintenance
603159,5200.0,-150.2188,60.4494,Alaska Fire Service,Smoking
LITTLEVALL,5172.0,-119.2179,39.9052,Winnemucca District Office,Natural
CATNIP,5120.0,-119.35027778,41.86861111,Sheldon National Wildlife Refuge,Debris and open burning
GOLDQUARRY,5001.0,-116.1509,40.8332,Elko District Office,Natural
HARMONY                  ,5000.0,-117.14694444,33.08694444,San Diego Unit,Equipment and vehicle use
DEATH RDG,5000.0,-112.8675,41.1833,Salt Lake Field Office,Missing data/not specified/undetermined
BURNT FLAT,4966.0,-118.3044,43.0118,Burns District,Natural
DAM,4800.0,-116.6875,45.26,Wallowa-Whitman National Forest,Natural
GOSHUTE,4800.0,-112.7341,40.4166,Salt Lake Field Office,Natural
WILLOW,4793.1,-107.4173,43.7333,Worland Field Office,Natural
CHAPIN 5,4781.0,-108.5004,37.2294,Mesa Verde National Park,Natural
WHITEFEATHER LAKE,4750.0,-91.98666667,48.15,Superior National Forest,Natural
DAVID CREE,4690.0,-141.866,67.0864,Alaska Fire Service,Natural
MADDALENA,4660.0,-120.285,39.83666667,Plumas National Forest,Equipment and vehicle use
SARAH,4626.1,-112.2611,39.6311,Richfield Field Office,Natural
KIGER CR,4572.9,-118.6291,42.9818,Burns District,Natural
CEDAR RIDG,4525.0,-107.884,43.85,Worland Field Office,Natural
SIMPSON,4505.0,-112.7841,40.0666,Salt Lake Field Office,Missing data/not specified/undetermined
DESERTPEAK,4500.0,-118.846,39.2066,Carson City District Office,Natural
DOVER RANCH,4500.0,-108.588,45.89803,Southern Land Office,Natural
FAYETTE,4500.0,-109.79166667,42.91666667,Bridger-Teton National Forest,Debris and open burning
MESA CMPLX,4500.0,-118.9176,35.4333,Central California District,Arson/incendiarism
KAWEAH,4479.0,-118.9843,36.4499,Central California District,Equipment and vehicle use
SUR,4410.0,-121.74833333,36.24833333,Los Padres National Forest,Missing data/not specified/undetermined
BANOS,4380.0,-120.8844,36.7999,Central California District,Natural
EVAN'S WEST 1321,4320.0,-121.13916667,43.84111111,Deschutes National Forest,Natural
LASTSTAND,4290.0,-107.7507,45.7166,Crow Agency,Railroad operations and maintenance
COYOTE PNF,4283.0,-110.43,44.99333333,Custer Gallatin National Forest,Natural
WHITESPRG,4263.0,-110.5185,34.1848,Fort Apache Agency,Arson/incendiarism
HOCHANDOCT,4220.0,-154.7043,65.5386,Alaska Fire Service,Natural
604463,4200.0,-157.5691,62.266,Alaska Fire Service,Natural
SOUTH TEMPERANCE,4130.0,-90.775,47.935,Superior National Forest,Natural
WARRIORS FACE,4104.0,-114.67166667,45.71166667,Bitterroot National Forest,Natural
UP BOULDER,4059.0,-116.3787,40.8507,Elko District Office,Natural
SMILEY,4010.3,-115.16833333,41.01833333,Humboldt-Toiyabe National Forest,Natural
CRANEFALLS,4004.0,-115.9259,42.9582,Boise District,Natural
MULEBUTTE1,4000.0,-113.3131,43.101,Idaho Falls District,Natural
BASE LINE,4000.0,-120.551,37.8999,Central California District,Natural
ULIBARRI,4000.0,-105.12249755,35.01944351,New Mexico State Forestry Division,Missing data/not specified/undetermined
HWY 33 II,4000.0,-120.0093,35.8166,Central California District,Arson/incendiarism
CODY,4000.0,-96.2836,34.6334,Chickasaw Agency,Arson/incendiarism
SPRING CR.,4000.0,-104.8505,42.3833,Casper Field Office,Arson/incendiarism
631305 STE,4000.0,-150.8758,65.3256,Alaska Fire Service,Natural
ANTELOPE,4000.0,-114.8242,42.2649,Boise District,Natural
SLED ROADS,4000.0,-151.3023,63.8828,Alaska Fire Service,Natural
SHARPSFIRE,4000.0,-112.9843,48.6,Blackfeet Agency,Natural
