name,acres,lon,lat,reporter,cause
BIG POND,1237.6,-97.3192,27.4214,Padre Island National Seashore,Missing data/not specified/undetermined
WILDSTEER,1220.0,-112.24111111,35.10111111,Kaibab National Forest,Natural
SHEEPFENCE,1206.0,-112.2063,37.325,Cedar City Field Office,Natural
ROSE,1200.0,-109.39944444,33.42388889,Apache-Sitgreaves National Forest,Debris and open burning
CEMENT                   ,1200.0,-121.97888888,38.30888888,Sonoma-Lake Napa Unit,Missing data/not specified/undetermined
ALLEN STUECKLE,1200.0,-99.68262997,45.86896998,South Dakota Wildland Fire Suppression,Debris and open burning
NEW,1200.0,-111.94666667,33.985,Tonto National Forest,Natural
RIVER BOTTOM,1200.0,-98.25718999,45.55019002,South Dakota Wildland Fire Suppression,Natural
MAD CAT,1200.0,-95.59288,34.69392999,Oklahoma Division of Forestry,Missing data/not specified/undetermined
BABCOCK FIRE,1200.0,-81.58777999,26.86193999,Florida Forest Service,Missing data/not specified/undetermined
SAMPSON CR,1192.0,-114.5492,39.9983,Ely District Office,Missing data/not specified/undetermined
DIAMOND 2,1150.0,-111.48055556,33.83583333,Tonto National Forest,Missing data/not specified/undetermined
FISH WF,1149.0,-96.31146,45.22574,Big Stone National Wildlife Refuge,Debris and open burning
HURST,1128.5,-156.8833,63.21666997,Southwest Area,Natural
CACHUMA,1127.0,-119.91138889,34.71972222,Los Padres National Forest,Equipment and vehicle use
ST HILAIRE,1120.0,-96.28580847,48.00455667,Minnesota Department of Natural Resources,Debris and open burning
WELL FIRE,1116.0,-108.2706,37.0311,Ute Mountain Ute Agency,Natural
TABLE,1097.0,-112.77137,40.87711,Salt Lake Field Office,Fireworks
SOUTH POT,1086.0,-115.48816,42.85,Twin  Falls District,Natural
UNIT 7-04-1W,1081.0,-93.71833333,29.85333333,Sabine National Wildlife Refuge,Natural
MID-BULL,1080.0,-119.98138889,39.56111111,Humboldt-Toiyabe National Forest,Natural
TRANSFER,1058.0,-112.035,35.95222222,Kaibab National Forest,Natural
COYOTE SPRINGS,1054.0,-115.0514,36.4437,Desert National Wildlife Refuge,Natural
COAL,1050.0,-109.1341,48.05,North Central Montana District,Natural
RIGGS,1048.0,-114.6964,37.2736,Ely District Office,Missing data/not specified/undetermined
PINEY ISLAND,1040.0,-76.05638889,38.37027778,Blackwater National Wildlife Refuge,Arson/incendiarism
NORTH STAR BUTTE,1030.0,-116.45694444,45.16277778,Payette National Forest,Natural
CICERO CREEK,1026.0,-91.022222,38.041667,Missouri Department of Conservation,Missing data/not specified/undetermined
FOX,1020.0,-111.295,33.71833333,Tonto National Forest,Natural
EAST COVE 05,1012.0,-93.21666667,29.83333333,Cameron Prarie National Wildlife Refuge,Arson/incendiarism
RUNWAY,1007.0,-117.466667,34.033333,San Bernardino National Forest,Missing data/not specified/undetermined
